size,edges,algorithm,time_ms,expanded_nodes,distance
20,40,Dijkstra,0.0632,16,179.0
20,40,A*,0.0533,13,179.0
40,80,Dijkstra,0.0741,7,138.0
40,80,A*,0.0298,5,138.0
80,160,Dijkstra,0.2031,72,401.0
80,160,A*,0.2226,69,401.0
160,320,Dijkstra,0.2403,81,328.0
160,320,A*,0.1759,42,328.0
320,640,Dijkstra,0.1877,38,312.0
320,640,A*,0.1393,25,312.0
